,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2019-12-31,ALHIO.PA,2019-12-31,2019-12-31,FY,7547704.0,0.0,7547704.0,0.0,7737776.0,333001.0,55774479,8420846.0,8029073.0,160227.0,8189300.0,12849.0,242039.0,0.0,17413133,333001.0,73187610,22992206,0.0,0.0,0.0,0.0,31911651,4641881.0,0.0,332529.0,1.0,8862253.0,0.0,40773904,10000000,1925323.0,-17182027,0.0,31885700,40773904,0.0,10596145,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2018-12-31,ALHIO.PA,2018-12-31,2018-12-31,FY,7043340.0,0.0,7043340.0,0.0,5577031.0,1.0,51780783,5201829.0,8897084.0,244903.0,9141987.0,12849.0,0.0,0.0,15074569,1.0,66855351,20938298,0.0,0.0,0.0,0.0,27561198,5062386.0,0.0,61.0,-3.0,7527242.0,0.0,35088440,10000000,3476453.0,-15959952,0.0,31690485,35088440,0.0,8243762.0,279008.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2017-12-31,ALHIO.PA,2017-12-31,2017-12-31,FY,7561364.0,0.0,7561364.0,0.0,8031020.0,-1.0,47471372,6801323.0,8897084.0,339235.0,9236319.0,16758.0,40120.0,0.0,16708678,-1.0,64180050,20783724,0.0,0.0,0.0,-1.0,25570101,6531599.0,0.0,329087.0,1.0,9492752.0,-1.0,35062853,10000000,1343446.0,-16342610,0.0,28862452,35062853,0.0,10028390,1439269.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2016-12-31,ALHIO.PA,2016-12-31,2016-12-31,FY,11645595,0.0,11645595,0.0,5483629.0,-1.0,43661124,5801011.0,0.0,0.0,4792192.0,0.0,29454.0,-1.0,12597448,-1.0,56258572,1186589.0,0.0,0.0,0.0,17650835,20095898,4392070.0,0.0,102391.0,0.0,7112827.0,17650835,27208724,10000000,2403448.0,-13771257,0.0,28969363,27208724,0.0,6185478.0,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2015-12-31,ALHIO.PA,2015-12-31,2015-12-31,FY,8108548.0,0.0,8108548.0,0.0,5686949.0,-1.0,43697620,5848706.0,0.0,0.0,4873952.0,15361.0,1646741.0,0.0,12850566,-1.0,56548186,0.0,0.0,0.0,0.0,19957264,22242054,1530662.0,0.0,154801.0,1.0,6741770.0,19957264,28983824,10000000,3023761.0,-12936764,0.0,27603840,28983824,0.0,3403744.0,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2014-12-31,ALHIO.PA,2014-12-31,2014-12-31,FY,4353534.0,0.0,4353534.0,0.0,6987564.0,-1.0,42507348,5425089.0,0.0,0.0,4927018.0,57497.0,0.0,0.0,13297845,-1.0,55805193,0.0,0.0,0.0,0.0,18229496,23806486,4396454.0,0.0,256578.0,0.0,6920339.0,18229496,30726825,10000000,1296111.0,-12151219,0.0,25115319,30726825,0.0,6797554.0,1463954.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2013-12-31,ALHIO.PA,2013-12-31,2013-12-31,FY,6072423.0,0.0,6072423.0,0.0,6264318.0,1.0,40616274,5560266.0,0.0,0.0,5543683.0,213614.0,192.0,0.0,14110521,1.0,54726795,0.0,0.0,0.0,0.0,18353101,23957886,3750489.0,0.0,402187.0,0.0,6111615.0,18353101,30069501,10000000,691465.0,-11674157,0.0,24685822,30069501,0.0,6723480.0,0.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2012-12-31,ALHIO.PA,2012-12-31,2012-12-31,FY,4751281.0,0.0,4751281.0,0.0,7636644.0,1.0,43835311,5400420.0,0.0,0.0,5493707.0,544349.0,192.0,-1.0,14034806,1.0,57870117,0.0,0.0,0.0,0.0,19886002,25966516,4807116.0,0.0,629634.0,-1.0,6856070.0,19886002,32822586,10000000,552285.0,-10562593,0.0,25072746,32822586,0.0,7162078.0,2410797.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2011-12-31,ALHIO.PA,2011-12-31,2011-12-31,FY,2280988.0,0.0,2280988.0,0.0,4753948.0,0.0,41833295,18865879,0.0,0.0,5682281.0,3041843.0,280395.0,0.0,30290859,0.0,72124154,11668320,0.0,0.0,0.0,168394.0,31344736,12868215,0.0,410373.0,0.0,14896320,168394.0,46241056,10000000,2369081.0,-10907823,0.0,25295642,46241056,0.0,17583924,14508832,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
0,2010-12-31,ALHIO.PA,2010-12-31,2010-12-31,FY,1289872.0,0.0,1289872.0,0.0,5099834.0,0.0,40959693,17844615,5253542.0,365655.0,5619197.0,0.0,73542.0,1460712.0,28797474,0.0,69757167,10627685,0.0,0.0,0.0,411350.0,31183901,9202920.0,0.0,710206.0,0.0,11197195,411350.0,42381096,10000000,-871502.0,0.0,0.0,26849815,42381096,0.0,16908434,15618562,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.H.I.O#phrase=A.L.H.I.O
