,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-05-31,RPM,USD,2020-07-27,2020-07-27 17:06:35,FY,233416000,0.0,233416000,1137957000,810448000,0.0,2423429000,1134177000,1250066000.0,584380000,1834446000,0.0,30894000.0,208008000,3207525000,0.0,5630954000,535311000,80890000.0,0.0,0.0,0.0,1093580000,2458290000,0.0,59555000.0,510175000.0,3272711000,0.0,4366291000,1295000.0,1544336000,-717000000.0,0.0,1262445000,5628736000,0.0,2539180000,2305764000,https://www.sec.gov/Archives/edgar/data/110621/000156459020033611/0001564590-20-033611-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459020033611/rpm-10k_20200531.htm,1620597401,17:56:41,20210509
1,2019-05-31,RPM,USD,2019-07-24,2019-07-24 15:16:55,FY,223168000,0.0,223168000,1232350000,841873000,0.0,2518092000,819211000,1245762000.0,601082000,1846844000,0.0,34908000.0,222300000,2923263000,0.0,5441355000,556696000,552446000.0,0.0,0.0,0.0,1539405000,1973462000,0.0,114843000.0,405040000.0,2493345000,0.0,4032750000,1310000.0,1425052000,-578000000.0,0.0,1405952000,5438702000,0.0,2525908000,2302740000,https://www.sec.gov/Archives/edgar/data/110621/000156459019025795/0001564590-19-025795-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459019025795/rpm-10k_20190531.htm,1620597401,17:56:41,20210509
2,2018-05-31,RPM,USD,2018-07-23,2018-07-23 15:49:28,FY,244422000,0.0,244422000,1113818000,834461000,0.0,2470931000,780306000,1192174000.0,584272000,1776446000,0.0,21897000.0,222242000,2800891000,0.0,5271822000,592281000,3501000.0,0.0,0.0,0.0,1006726000,2170643000,0.0,104023000.0,356892000.0,2631558000,0.0,3638284000,1336000.0,1342736000,-459000000.0,0.0,1630773000,5269057000,0.0,2174144000,1929722000,https://www.sec.gov/Archives/edgar/data/110621/000156459018017180/0001564590-18-017180-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459018017180/rpm-10k_20180531.htm,1620597401,17:56:41,20210509
3,2017-05-31,RPM,USD,2017-07-24,2017-07-24 16:18:27,FY,350497000,0.0,350497000,995330000,788197000,0.0,2397436000,742686000,1143913000.0,573092000,1717005000,0.0,19793000.0,213529000,2693013000,0.0,5090449000,534718000,253645000.0,0.0,0.0,0.0,1235394000,1836437000,0.0,97427000.0,482491000.0,2416355000,0.0,3651749000,1336000.0,1172442000,-474000000.0,0.0,1436061000,5087810000,0.0,2090082000,1739585000,https://www.sec.gov/Archives/edgar/data/110621/000156459017013863/0001564590-17-013863-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459017013863/rpm-10k_20170531.htm,1620597401,17:56:41,20210509
4,2016-05-31,RPM,USD,2016-07-28,2016-07-28 16:50:06,FY,265152000,0.0,265152000,963092000,685818000,0.0,2138342000,629453000,1219630000.0,575401000,1795031000,0.0,19771000.0,193444000,2637699000,0.0,4776041000,500506000,4713000.0,0.0,0.0,0.0,1002191000,1646332000,0.0,49791000.0,702979000.0,2399102000,0.0,3401293000,1329000.0,1147371000,-502000000.0,0.0,1372335000,4773628000,0.0,1651045000,1385893000,https://www.sec.gov/Archives/edgar/data/110621/000156459016021706/0001564590-16-021706-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459016021706/rpm-10k_20160531.htm,1620597401,17:56:41,20210509
5,2015-05-31,RPM,USD,2015-07-27,2015-07-27 16:31:44,FY,174711000,0.0,174711000,956211000,674205000,0.0,2099846000,589646000,1215688000.0,604130000,1819818000,0.0,5685000.0,179245000,2594394000,0.0,4694240000,512165000,2038000.0,0.0,0.0,0.0,903236000,1654037000,0.0,90681000.0,752821000.0,2497539000,0.0,3400775000,1332000.0,936996000,-394000000.0,0.0,1291392000,4692167000,0.0,1656075000,1481364000,https://www.sec.gov/Archives/edgar/data/110621/000119312515264092/0001193125-15-264092-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312515264092/d949204d10k.htm,1620597401,17:56:41,20210509
6,2014-05-31,RPM,USD,2014-08-14,2014-08-14 16:23:30,FY,332868000,0.0,332868000,873946000,613644000,0.0,2062295000,532805000,1147374000.0,459536000,1606910000,0.0,7943000.0,168412000,2316070000,0.0,4378365000,525680000,5662000.0,0.0,0.0,0.0,937086000,1345965000,0.0,50061000.0,466659000.0,1862685000,0.0,2799771000,1333000.0,833691000,-157000000.0,0.0,1382844000,4182615000,0.0,1351627000,1018759000,https://www.sec.gov/Archives/edgar/data/110621/000119312514310185/0001193125-14-310185-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312514310185/d745717d10k.htm,1620597401,17:56:41,20210509
7,2013-05-31,RPM,USD,2013-07-24,2013-07-24 17:08:29,FY,343554000,0.0,343554000,787517000,548680000,0.0,1886272000,492363000,1113831000.0,459613000,1573444000,0.0,0.0,163447000,2229254000,0.0,4115526000,478185000,4521000.0,0.0,0.0,0.0,928030000,1369176000,0.0,46227000.0,417160000.0,1832563000,0.0,2760593000,1326000.0,667774000,-159000000.0,0.0,1200858000,3961451000,0.0,1373697000,1030143000,https://www.sec.gov/Archives/edgar/data/110621/000119312513300693/0001193125-13-300693-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312513300693/d549438d10k.htm,1620597401,17:56:41,20210509
8,2012-05-31,RPM,USD,2012-07-26,2012-07-26 16:31:25,FY,315968000,0.0,315968000,745541000,489978000,0.0,1811337000,418832000,849346000.0,345620000,1194966000,0.0,0.0,134885000,1748683000,0.0,3560020000,391467000,2584000.0,0.0,0.0,0.0,759792000,1112952000,0.0,26326000.0,346967000.0,1486245000,0.0,2246037000,1316000.0,686818000,-178000000.0,0.0,1183656000,3429693000,0.0,1115536000,799568000,https://www.sec.gov/Archives/edgar/data/110621/000119312512316906/0001193125-12-316906-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312512316906/d364030d10k.htm,1620597401,17:56:41,20210509
9,2011-05-31,RPM,USD,2011-07-27,2011-07-27 14:46:05,FY,435011000,0.0,435011000,712863000,463120000,0.0,1867970000,390027000,831489000.0,312867000,1144356000,0.0,0.0,112676000,1647059000,0.0,3515029000,358790000,2549000.0,0.0,0.0,0.0,735289000,1106304000,0.0,62042000.0,224026000.0,1392372000,0.0,2127661000,1306000.0,583035000,6000000.0,0.0,1263164000,3390825000,0.0,1108853000,673842000,https://www.sec.gov/Archives/edgar/data/110621/000119312511198745/0001193125-11-198745-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312511198745/d10k.htm,1620597401,17:56:41,20210509
