,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-06-30,HDP.PA,EUR,2019-06-30,2019-06-30,Q2,-2833250.0,1694500.0,0.0,0.0,-201250.0,0.0,0.0,0.0,0.0,5247000.0,2240250.0,-1360750.0,,-16500.0,9750.0,-250.0,0.0,0.0,0.0,0.0,0.0,367500.0,0.0,0.0,-1588750.0,786250.0,2375000.0,2240250.0,-1360750.0,879500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
1,2019-03-31,HDP.PA,EUR,2019-03-31,2019-03-31,Q1,-2833250.0,1694500.0,0.0,0.0,-201250.0,0.0,0.0,0.0,0.0,5247000.0,2240250.0,-1360750.0,,-16500.0,9750.0,-250.0,0.0,0.0,0.0,0.0,0.0,367500.0,0.0,0.0,-1588750.0,786250.0,2375000.0,2240250.0,-1360750.0,879500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
2,2019-01-31,HDP.PA,EUR,2019-01-31,2019-01-31,Q1,-2833250.0,1694500.0,0.0,0.0,-201250.0,0.0,0.0,0.0,0.0,5247000.0,2240250.0,-1360750.0,,-16500.0,9750.0,-250.0,0.0,0.0,0.0,0.0,0.0,367500.0,0.0,0.0,-1588750.0,786250.0,2375000.0,2240250.0,-1360750.0,879500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
3,2018-06-30,HDP.PA,EUR,2018-06-30,2018-06-30,Q2,-2117250.0,836500.0,0.0,0.0,-547000.0,0.0,0.0,0.0,0.0,2026500.0,-584500.0,-658500.0,,-82000.0,8750.0,250.0,0.0,0.0,0.0,0.0,0.0,320750.0,0.0,0.0,2024750.0,2375000.0,350250.0,-584500.0,-658500.0,-1243000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
4,2018-03-31,HDP.PA,EUR,2018-03-31,2018-03-31,Q1,-2117250.0,836500.0,0.0,0.0,-547000.0,0.0,0.0,0.0,0.0,2026500.0,-584500.0,-658500.0,,-82000.0,8750.0,250.0,0.0,0.0,0.0,0.0,0.0,320750.0,0.0,0.0,2024750.0,2375000.0,350250.0,-584500.0,-658500.0,-1243000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
5,2018-01-31,HDP.PA,EUR,2018-01-31,2018-01-31,Q1,-2117250.0,836500.0,0.0,0.0,-547000.0,0.0,0.0,0.0,0.0,2026500.0,-584500.0,-658500.0,,-82000.0,8750.0,250.0,0.0,0.0,0.0,0.0,0.0,320750.0,0.0,0.0,2024750.0,2375000.0,350250.0,-584500.0,-658500.0,-1243000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
6,2017-06-30,HDP.PA,EUR,2017-06-30,2017-06-30,Q2,-3201250.0,656500.0,0.0,0.0,-6674500.0,0.0,0.0,0.0,0.0,-1533500.0,-10962000.0,-2349750.0,,-8500.0,6000.0,-486250.0,0.0,0.0,0.0,0.0,0.0,2043250.0,0.0,0.0,351250.0,350250.0,-1000.0,-10962000.0,-2349750.0,-13311750.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
7,2017-03-31,HDP.PA,EUR,2017-03-31,2017-03-31,Q1,-3201250.0,656500.0,0.0,0.0,-6674500.0,0.0,0.0,0.0,0.0,-1533500.0,-10962000.0,-2349750.0,,-8500.0,6000.0,-486250.0,0.0,0.0,0.0,0.0,0.0,2043250.0,0.0,0.0,351250.0,350250.0,-1000.0,-10962000.0,-2349750.0,-13311750.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
8,2017-01-31,HDP.PA,EUR,2017-01-31,2017-01-31,Q1,-3201250.0,656500.0,0.0,0.0,-6674500.0,0.0,0.0,0.0,0.0,-1533500.0,-10962000.0,-2349750.0,,-8500.0,6000.0,-486250.0,0.0,0.0,0.0,0.0,0.0,2043250.0,0.0,0.0,351250.0,350250.0,-1000.0,-10962000.0,-2349750.0,-13311750.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
9,2016-06-30,HDP.PA,EUR,2016-06-30,2016-06-30,Q2,-2785000.0,423750.0,0.0,0.0,-188000.0,0.0,0.0,0.0,0.0,-276750.0,-3435750.0,-467500.0,,-80500.0,21250.0,0.0,0.0,0.0,790750.0,0.0,0.0,0.0,0.0,0.0,-34500.0,-1000.0,33500.0,-3435750.0,-467500.0,-3903250.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=H.D.P#phrase=H.D.P,1620593015,16:43:35,20210509
