,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,COFWS,USD,2020-05-01,2020-05-01 14:51:53,Q1,24936000000,81423000000.0,106359000000,1687000000,0.0,0.0,108046000000,4336000000.0,14645000000.0,0.0,14645000000.0,20391000000.0,0.0,264105000000.0,288832000000.0,0.0,396878000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340048000000,340048000000,7000000.0,36552000000,3679000000.0,16592000000,56830000000.0,396878000000,101814000000.0,55681000000.0,30745000000,https://www.sec.gov/Archives/edgar/data/927628/000092762820000173/0000927628-20-000173-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000173/cof-03312020x10q.htm,1620590532,16:02:12,20210509
1,2019-12-31,COFWS,USD,2020-02-20,2020-02-20 16:17:55,Q4,13407000000,79213000000.0,92620000000,1758000000,0.0,0.0,94378000000,4378000000.0,14653000000.0,0.0,14653000000.0,9278000000.0,0.0,282331000000.0,295987000000.0,0.0,390365000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332354000000,332354000000,7000000.0,40340000000,1156000000.0,16508000000,58011000000.0,390365000000,88491000000.0,55697000000.0,42290000000,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/0000927628-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/cof-12312019x10k.htm,1620590532,16:02:12,20210509
2,2019-09-30,COFWS,USD,2019-10-31,2019-10-31 15:18:02,Q3,17120000000,46168000000.0,63288000000,1627000000,0.0,0.0,64915000000,4311000000.0,14624000000.0,0.0,14624000000.0,12668000000.0,0.0,296916000000.0,313895000000.0,0.0,378810000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320575000000,320575000000,7000000.0,39476000000,453000000.0,18299000000,58235000000.0,378810000000,58836000000.0,50149000000.0,33029000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000312/0000927628-19-000312-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000312/cof-09302019x10q.htm,1620590532,16:02:12,20210509
3,2019-06-30,COFWS,USD,2019-07-31,2019-07-30 20:58:59,Q2,15111000000,45658000000.0,60769000000,1544000000,0.0,0.0,62313000000,4243000000.0,14545000000.0,0.0,14545000000.0,9927000000.0,0.0,297136000000.0,311306000000.0,0.0,373619000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317852000000,317852000000,7000000.0,38386000000,170000000.0,17204000000,55767000000.0,373619000000,55585000000.0,49233000000.0,34122000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000274/0000927628-19-000274-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000274/cof-06302019x10q.htm,1620590532,16:02:12,20210509
4,2019-03-31,COFWS,USD,2019-05-01,2019-05-01 16:02:08,Q1,17469000000,45888000000.0,63357000000,1615000000,0.0,0.0,64972000000,4205000000.0,14546000000.0,0.0,14546000000.0,12897000000.0,0.0,291117000000.0,308219000000.0,0.0,373191000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319710000000,319710000000,7000000.0,37030000000,-660000000.0,17104000000,53481000000.0,373191000000,58785000000.0,50358000000.0,32889000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000177/0000927628-19-000177-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000177/cof-03312019x10q.htm,1620590532,16:02:12,20210509
5,2018-12-31,COFWS,USD,2019-02-20,2019-02-20 15:52:42,Q4,13186000000,46150000000.0,59336000000,1614000000,0.0,0.0,60950000000,4191000000.0,14544000000.0,0.0,14544000000.0,8418000000.0,0.0,298979000000.0,311588000000.0,0.0,372538000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320870000000,320870000000,7000000.0,35875000000,-1263000000.0,17049000000,51668000000.0,372538000000,54568000000.0,58905000000.0,45719000000,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/0000927628-19-000093-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762819000093/cof-12312018x10k.htm,1620590532,16:02:12,20210509
6,2018-09-30,COFWS,USD,2018-11-01,2018-10-31 17:56:39,Q3,10882000000,47384000000.0,58266000000,1518000000,0.0,0.0,59784000000,4149000000.0,14513000000.0,0.0,14513000000.0,6335000000.0,0.0,292641000000.0,303125000000.0,0.0,362909000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312271000000,312271000000,7000000.0,34883000000,-1877000000.0,17625000000,50638000000.0,362909000000,53719000000.0,52205000000.0,41323000000,https://www.sec.gov/Archives/edgar/data/927628/000092762818000317/0000927628-18-000317-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000317/cof-09302018x10q.htm,1620590532,16:02:12,20210509
7,2018-06-30,COFWS,USD,2018-07-27,2018-07-27 16:40:02,Q2,12273000000,84155000000.0,96428000000,1493000000,0.0,0.0,97921000000,4095000000.0,14531000000.0,0.0,14531000000.0,84155000000.0,0.0,177818000000.0,266068000000.0,0.0,363989000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314063000000,314063000000,7000000.0,33626000000,-1793000000.0,18086000000,49926000000.0,363989000000,168310000000.0,53310000000.0,41037000000,https://www.sec.gov/Archives/edgar/data/927628/000092762818000281/0000927628-18-000281-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000281/cof-06302018x10q.htm,1620590532,16:02:12,20210509
8,2018-03-31,COFWS,USD,2018-05-02,2018-05-02 16:37:58,Q1,14008000000,70230000000.0,84238000000,1496000000,0.0,0.0,85734000000,4055000000.0,14536000000.0,0.0,14536000000.0,70230000000.0,0.0,202838000000.0,277123000000.0,0.0,362857000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313654000000,313654000000,7000000.0,31996000000,-1599000000.0,18799000000,49203000000.0,362857000000,140460000000.0,50693000000.0,36685000000,https://www.sec.gov/Archives/edgar/data/927628/000092762818000179/0000927628-18-000179-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000179/cof-03312018x10q.htm,1620590532,16:02:12,20210509
9,2017-12-31,COFWS,USD,2018-02-21,2018-02-21 17:01:17,Q4,14040000000,37655000000.0,51695000000,1536000000,0.0,0.0,53231000000,4033000000.0,14533000000.0,0.0,14533000000.0,9582000000.0,0.0,298847000000.0,312462000000.0,0.0,365693000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316963000000,316963000000,7000000.0,30700000000,-926000000.0,18949000000,48730000000.0,365693000000,47237000000.0,40271000000.0,26231000000,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/0000927628-18-000107-index.htm,https://www.sec.gov/Archives/edgar/data/927628/000092762818000107/cof-12312017x10k.htm,1620590532,16:02:12,20210509
