,date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
0,2020-09-30,SINO,2020-11-13,2020-11-13 08:01:36,Q1,1023789.0,0.0,1023789.0,1440555.0,0.0,22290.0,2594464.0,739356.0,0.0,10556.0,10556.0,0.0,0.0,0.0,9053937.0,22290.0,11648401,566665.0,0.0,0.0,68912.0,0.0,6187994.0,152245.0,0.0,0.0,0.0,258527.0,0.0,6446521.0,29466192,-19559908,-1412451.0,0.0,11437256,6446521.0,0.0,600100.0,-704159.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390020036768/0001213900-20-036768-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390020036768/f10q0920_sinoglobal.htm
0,2020-06-30,SINO,2020-10-13,2020-10-13 17:14:12,Q4,131182.0,0.0,131182.0,1591846.0,0.0,41458.0,1913319.0,823404.0,0.0,26389.0,26389.0,0.0,0.0,0.0,3824783.0,41458.0,5738102.0,487692.0,0.0,0.0,67083.0,0.0,5808865.0,154438.0,0.0,0.0,0.0,287137.0,0.0,6096002.0,28414992,-23421594,-1291339.0,0.0,6184461.0,6096002.0,0.0,617560.0,149288.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390020031118/0001213900-20-031118-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390020031118/f10k2020_sinoglobalshipping.htm
0,2020-03-31,SINO,2020-07-06,2020-07-06 16:30:52,Q3,143112.0,0.0,143112.0,8667710.0,0.0,0.0,9162689.0,926413.0,0.0,42222.0,42222.0,0.0,0.0,0.0,7475395.0,0.0,16638084,637489.0,0.0,0.0,66987.0,0.0,5637221.0,0.0,0.0,0.0,0.0,177495.0,0.0,5814716.0,28090992,-12821480,-1221987.0,0.0,16347683,5814716.0,0.0,333685.0,-143110.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390020016745/0001213900-20-016745-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390020016745/f10q0320_sinoglobal.htm
0,2019-12-31,SINO,2020-02-19,2020-02-19 17:17:01,Q2,119667.0,0.0,119667.0,4766449.0,0.0,0.0,15490706,1051074.0,0.0,58056.0,58056.0,0.0,0.0,0.0,4265131.0,0.0,19755837,510667.0,0.0,0.0,74912.0,0.0,5089628.0,0.0,0.0,0.0,0.0,230262.0,0.0,5319890.0,27308992,-9003386.0,-1175178.0,0.0,19638127,5319890.0,0.0,386082.0,-119670.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390020004276/0001213900-20-004276-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390020004276/f10q1219_sinoglobalshipping.htm
0,2019-09-30,SINO,2019-11-19,2019-11-19 16:12:17,Q1,141438.0,0.0,141438.0,4464545.0,0.0,0.0,14323278,1138929.0,0.0,73889.0,73889.0,0.0,0.0,0.0,4366970.0,0.0,18690248,699855.0,0.0,0.0,66474.0,0.0,4875787.0,0.0,0.0,0.0,0.0,263473.0,0.0,5139260.0,27111130,-8596053.0,-1078996.0,0.0,18703337,5139260.0,0.0,421928.0,-141440.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390019024058/0001213900-19-024058-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390019024058/f10q0919_sinoglobal.htm
0,2019-06-30,SINO,2019-09-30,2019-09-30 16:06:42,Q4,3142650.0,0.0,3142650.0,8336048.0,0.0,0.0,15945162,989910.0,0.0,89722.0,89722.0,0.0,0.0,0.0,4653841.0,0.0,20599003,567619.0,0.0,0.0,68590.0,0.0,5239233.0,0.0,0.0,0.0,0.0,0.0,0.0,5239233.0,26523830,-6968700.0,-1229567.0,0.0,20533392,5239233.0,0.0,0.0,-3142650.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390019019293/0001213900-19-019293-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390019019293/f10k2019_sinoglobal.htm
0,2019-03-31,SINO,2019-05-15,2019-05-15 16:08:16,Q3,3523907.0,0.0,3523907.0,15777625,0.0,0.0,20550324,1032695.0,0.0,105556.0,105556.0,0.0,847668.0,0.0,6223729.0,0.0,26774053,4688560.0,0.0,0.0,69369.0,0.0,9217887.0,0.0,0.0,0.0,0.0,0.0,0.0,9217887.0,25855330,-4614380.0,-1234053.0,0.0,22331549,9217887.0,0.0,0.0,-3523910.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390019008814/0001213900-19-008814-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390019008814/f10q0319_sinoglobalship.htm
0,2018-12-31,SINO,2019-02-13,2019-02-13 16:16:48,Q2,2454226.0,0.0,2454226.0,13289749,0.0,0.0,17033768,900725.0,0.0,121389.0,121389.0,0.0,755000.0,0.0,6092705.0,0.0,23126203,770077.0,0.0,0.0,126395.0,0.0,4505658.0,0.0,0.0,0.0,0.0,0.0,0.0,4505658.0,25791830,-3225590.0,-1190457.0,0.0,23299718,4505658.0,0.0,0.0,-2454230.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390019002362/0001213900-19-002362-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390019002362/f10q1218_sinoglobalship.htm
0,2018-09-30,SINO,2018-11-14,2018-11-14 09:15:16,Q1,987031.0,0.0,987031.0,12609518,0.0,0.0,15542498,908298.0,0.0,137222.0,137222.0,0.0,829000.0,0.0,6790061.0,0.0,22332559,470720.0,0.0,0.0,170239.0,0.0,3729770.0,0.0,0.0,0.0,0.0,0.0,0.0,3729770.0,24253830,-1751618.0,-1177112.0,0.0,23308892,3729770.0,0.0,0.0,-990000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390018015638/0001213900-18-015638-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390018015638/f10q0918_sinoglobal.htm
0,2018-06-30,SINO,2018-09-28,2018-09-28 11:03:57,Q4,7098259.0,0.0,7098259.0,10586086,0.0,0.0,23832388,956429.0,0.0,153056.0,153056.0,0.0,634500.0,0.0,2325439.0,0.0,26157827,3225661.0,0.0,0.0,415385.0,0.0,6622553.0,0.0,0.0,0.0,0.0,0.0,0.0,6622553.0,23717330,-434856.0,-1200559.0,0.0,24348102,6622553.0,0.0,0.0,-7100000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390018013153/0001213900-18-013153-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390018013153/f10k2018_sinoglobalshipping.htm
0,2018-03-31,SINO,2018-05-14,2018-05-14 11:24:45,Q3,9549942.0,0.0,9549942.0,7174109.0,0.0,283632.0,21164977,536282.0,0.0,168889.0,168889.0,0.0,1670100.0,137850.0,2513121.0,283632.0,23678098,472085.0,0.0,0.0,373172.0,0.0,3671068.0,0.0,0.0,0.0,0.0,440219.0,0.0,4111287.0,22046330,105939.0,-1242827.0,0.0,24275370,4111287.0,0.0,0.0,-9550000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390018006054/0001213900-18-006054-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390018006054/f10q0318_sinoglobal.htm
0,2017-12-31,SINO,2018-02-13,2018-02-13 17:16:32,Q2,7219848.0,0.0,7219848.0,6940186.0,0.0,93787.0,17879083,217335.0,0.0,184722.0,184722.0,0.0,1823100.0,119059.0,2344216.0,93787.0,20223299,506989.0,0.0,0.0,360744.0,0.0,3486218.0,0.0,0.0,0.0,0.0,440219.0,0.0,3926437.0,20535379,20985.0,-1187879.0,0.0,21036205,3926437.0,0.0,0.0,-7220000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390018001728/0001213900-18-001728-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390018001728/f10q1217_sinoglobalshipping.htm
0,2017-09-30,SINO,2017-11-14,2017-11-14 09:01:12,Q1,7927386.0,0.0,7927386.0,6702586.0,0.0,0.0,18418596,182105.0,0.0,0.0,0.0,0.0,649500.0,119442.0,954553.0,0.0,19373149,872117.0,0.0,0.0,393580.0,0.0,3816895.0,0.0,0.0,0.0,0.0,0.0,0.0,3816895.0,20535379,-276718.0,-1150925.0,0.0,20284286,3816895.0,0.0,0.0,-7930000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390017011943/0001213900-17-011943-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390017011943/f10q0917_sinoglobal.htm
0,2017-06-30,SINO,2017-09-27,2017-09-27 16:12:58,Q4,8733742.0,0.0,8733742.0,4322082.0,0.0,0.0,16754888,187373.0,0.0,0.0,0.0,0.0,749400.0,117478.0,1061133.0,0.0,17816021,206211.0,0.0,0.0,369717.0,0.0,3086496.0,0.0,0.0,0.0,0.0,0.0,0.0,3086496.0,20535379,-893907.0,-1118657.0,0.0,19498304,3086496.0,0.0,0.0,-8730000.0,https://www.sec.gov/Archives/edgar/data/1422892/000121390017010050/0001213900-17-010050-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000121390017010050/f10k2017_sinoglobal.htm
0,2017-03-31,SINO,2017-05-15,2017-05-15 10:50:00,Q3,8840189.0,0.0,8840189.0,6392630.0,0.0,0.0,16913533,196845.0,0.0,0.0,0.0,0.0,387900.0,60481.0,694925.0,0.0,17608458,784411.0,0.0,0.0,344470.0,0.0,3878737.0,0.0,0.0,0.0,0.0,0.0,0.0,3878737.0,20535379,-1685124.0,-1089986.0,0.0,18532366,3878737.0,0.0,0.0,-8840000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420417027157/0001144204-17-027157-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420417027157/v466315_10q.htm
0,2016-12-31,SINO,2017-02-13,2017-02-13 09:01:23,Q2,3293453.0,0.0,3293453.0,3597510.0,0.0,0.0,10702884,146386.0,0.0,0.0,0.0,0.0,0.0,40360.0,279260.0,0.0,10982144,167525.0,0.0,0.0,383631.0,0.0,2961275.0,0.0,0.0,0.0,0.0,0.0,0.0,2961275.0,15500391,-2980178.0,-1070898.0,0.0,12804095,2961275.0,0.0,0.0,-3290000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420417007593/0001144204-17-007593-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420417007593/v458435_10q.htm
0,2016-09-30,SINO,2016-11-14,2016-11-14 08:33:43,Q1,2896265.0,0.0,2896265.0,2087270.0,0.0,0.0,9161601.0,162759.0,0.0,0.0,0.0,0.0,0.0,47061.0,332740.0,0.0,9494341.0,6832.0,0.0,0.0,24377.0,0.0,2235034.0,0.0,0.0,0.0,0.0,0.0,0.0,2235034.0,15500391,-3873079.0,-1098550.0,0.0,12064045,2235034.0,0.0,0.0,-2900000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420416133657/0001144204-16-133657-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420416133657/v452673_10q.htm
0,2016-06-30,SINO,2016-09-19,2016-09-19 16:54:08,Q4,1385994.0,0.0,1385994.0,4246450.0,0.0,0.0,8651985.0,176367.0,0.0,0.0,0.0,0.0,0.0,46810.0,402159.0,0.0,9054144.0,489490.0,0.0,0.0,24373.0,0.0,2437382.0,0.0,0.0,0.0,0.0,0.0,0.0,2437382.0,15500391,-4518799.0,-1088648.0,0.0,11424109,2437382.0,0.0,0.0,-1390000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420416124426/0001144204-16-124426-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420416124426/v448862_10k.htm
0,2016-03-31,SINO,2016-05-10,2016-05-10 16:25:09,Q3,4076107.0,0.0,4076107.0,3067630.0,0.0,0.0,8239065.0,182647.0,0.0,0.0,0.0,0.0,0.0,0.0,409238.0,0.0,8648303.0,312009.0,0.0,0.0,24376.0,0.0,2160080.0,0.0,0.0,0.0,0.0,0.0,0.0,2160080.0,15320391,-4606020.0,-1104846.0,0.0,11340562,2160080.0,0.0,0.0,-4080000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420416100454/0001144204-16-100454-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420416100454/v438880_10q.htm
0,2015-12-31,SINO,2016-02-12,2016-02-12 16:42:33,Q2,1094576.0,0.0,1094576.0,5788694.0,0.0,0.0,10789325,180853.0,0.0,0.0,0.0,0.0,0.0,0.0,258401.0,0.0,11047726,294890.0,0.0,0.0,25831.0,0.0,1824506.0,0.0,0.0,0.0,0.0,0.0,0.0,1824506.0,17190591,-3867811.0,-1082162.0,0.0,13934027,1824506.0,0.0,0.0,-1090000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420416081541/0001144204-16-081541-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420416081541/v430802_10q.htm
0,2015-09-30,SINO,2015-11-12,2015-11-12 16:21:24,Q1,1018463.0,0.0,1018463.0,6531710.0,0.0,0.0,8901065.0,195582.0,0.0,0.0,0.0,0.0,299600.0,0.0,3391878.0,0.0,12292943,339325.0,0.0,0.0,25832.0,23934.0,1729762.0,0.0,0.0,0.0,0.0,0.0,23934.0,1729762.0,16935591,-2368713.0,-1089918.0,0.0,15331651,1729762.0,0.0,0.0,-1020000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420415064724/0001144204-15-064724-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420415064724/v423419_10q.htm
0,2015-06-30,SINO,2015-09-18,2015-09-18 07:01:04,Q4,730322.0,0.0,730322.0,6058782.0,0.0,0.0,8105688.0,214003.0,0.0,0.0,0.0,0.0,280600.0,0.0,3704862.0,0.0,11810550,691588.0,0.0,0.0,126201.0,76196.0,1914044.0,0.0,0.0,0.0,0.0,0.0,76196.0,1914044.0,16303327,-2552870.0,-1100579.0,0.0,14606444,1914044.0,0.0,0.0,-730000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420415055551/0001144204-15-055551-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420415055551/v419797_10k.htm
0,2015-03-31,SINO,2015-05-13,2015-05-13 07:00:56,Q3,1107197.0,0.0,1107197.0,4740465.0,0.0,0.0,7157057.0,288069.0,0.0,0.0,0.0,0.0,255200.0,16736.0,944674.0,0.0,8101731.0,223561.0,0.0,0.0,224937.0,713644.0,1194378.0,0.0,0.0,0.0,0.0,0.0,713644.0,1194378.0,13385477,-2450396.0,-1202080.0,0.0,11789180,1194378.0,0.0,0.0,-1110000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420415029894/0001144204-15-029894-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420415029894/v409544_10q.htm
0,2014-12-31,SINO,2015-02-10,2015-02-10 06:30:41,Q2,2031747.0,0.0,2031747.0,3226567.0,0.0,0.0,6516981.0,261927.0,0.0,0.0,0.0,0.0,221200.0,16726.0,1005943.0,0.0,7522924.0,213371.0,0.0,0.0,113115.0,627493.0,986407.0,0.0,0.0,0.0,0.0,0.0,627493.0,986407.0,13385477,-2801379.0,-1169980.0,0.0,11395244,986407.0,0.0,0.0,-2030000.0,https://www.sec.gov/Archives/edgar/data/1422892/000114420415007234/0001144204-15-007234-index.htm,https://www.sec.gov/Archives/edgar/data/1422892/000114420415007234/v400361_10q.htm
