,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2018-06-30,PNK,2018-08-07 00:00:00,2018-08-07 13:50:26,Q2,647634000,359442000,288192000,0.44499207885935577,0.0,116021000,0.0,0.0,0.0,525088000,101163000,0.0,172116000,0.2657612169836667,122546000,0.028922199884502668,-2686000.0,18731000,0.028922199884502668,-3035000.0,21897000,0.033810763486784204,0.38,0.35,57543000,62266000,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000050/0001656239-18-000050-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000050/pnk6301810q.htm
0,2018-03-31,PNK,2018-05-10 00:00:00,2018-05-10 13:03:10,Q1,628395000,346264000,282131000,0.44897079066510714,0.0,114354000,0.0,0.0,601000.0,510657000,92526000,0.0,167950000,0.26726819914225924,117738000,0.03657572068523779,-2401000.0,22984000,0.03657572068523779,1190000.0,21943000,0.03491911934372489,0.39,0.35,56901000,62245000,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000037/0001656239-18-000037-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000037/pnk3311810q.htm
0,2017-12-31,PNK,2018-03-01 00:00:00,2018-03-01 14:05:50,Q4,620829000,349907000,270922000,0.43638747545620454,0.0,117665000,0.0,0.0,0.0,518297000,94465000,0.0,153452000,0.24717273194390083,102532000,0.00830502441090864,-3106000.0,5156000.0,0.00830502441090864,-17028000,22377000,0.036043741513363585,0.4,0.36,56639000,62008000,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000022/0001656239-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623918000022/pnk1231201710k.htm
0,2017-09-30,PNK,2017-11-09 00:00:00,2017-11-09 12:57:18,Q3,647403000,359886000,287517000,0.4441082293409206,0.0,117470000,0.0,0.0,0.0,531481000,95930000,0.0,170126000,0.26278222374626004,115922000,0.023730195874903267,-4708000.0,15363000,0.023730195874903267,1423000.0,14133000,0.0218302973572875,0.25,0.23,56799000,61880000,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000053/0001656239-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000053/pnk9301710q.htm
0,2017-06-30,PNK,2017-08-10 00:00:00,2017-08-10 13:58:20,Q2,653642000,366650000,286992000,0.43906603308844905,0.0,115954000,0.0,0.0,0.0,538761000,96730000,0.0,171048000,0.2616845306758134,114881000,0.01489041401868301,-8518000.0,9733000.0,0.01489041401868301,1307000.0,9377000.0,0.014345773374415964,0.17,0.15,56648000,61884000,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000044/0001656239-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000044/pnk6301710q.htm
0,2017-03-31,PNK,2017-05-11 00:00:00,2017-05-11 12:33:23,Q1,639974000,359007000,280967000,0.4390287730439049,0.0,113414000,0.0,0.0,0.0,528439000,94262000,0.0,167707000,0.2620528333963567,111535000,0.02641201048792607,-524000.0,16903000,0.02641201048792607,-305000.0,17217000,0.026902655420376453,0.31,0.28,55977000,60884000,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000033/0001656239-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000033/pnk3311710q.htm
0,2016-12-31,PNK,2017-02-28 00:00:00,2017-02-28 15:59:23,Q4,637424000,360697000,276727000,0.43413332412962174,1029000.0,113923000,0.0,0.0,0.0,531592000,96037000,0.0,162635000,0.2551441426742639,105832000,-0.01669061723436833,-21294000,-10639000,-0.01669061723436833,-1600000.0,-9026000.0,-0.014160119480910666,-0.16,-0.16,55819000,55819000,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000016/0001656239-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623917000016/pnk1231201610k.htm
0,2016-09-30,PNK,2016-11-14 00:00:00,2016-11-14 15:19:03,Q3,595174000,334356000,260818000,0.43822142768333294,5594000.0,108999000,0.0,0.0,0.0,503303000,94496000,0.0,146445000,0.2460540951049609,91871000,0.005048943670254413,5410000.0,3005000.0,0.005048943670254413,3537000.0,-486000.0,-0.0008165679280344908,-0.01,-0.01,57004000,57004000,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000034/0001656239-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000034/pnk9301610q.htm
0,2016-06-30,PNK,2016-08-11 00:00:00,2016-08-11 14:23:09,Q2,566232000,307903000,258329000,0.45622465703104026,44028000,171034000,0.0,0.0,0.0,532910000,85192000,0.0,87350000,0.1542653894516735,33322000,-0.9257194930699784,-472447000,-524172000,-0.9257194930699784,-34970000,-488924000,-0.8634693906384662,-8.04,-8.04,60791000,60791000,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000026/0001656239-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000026/pnk6301610q.htm
0,2016-03-31,PNK,2016-05-12 00:00:00,2016-05-12 14:05:10,Q1,580025000,307164000,272861000,0.4704297228567734,5329000.0,104862000,0.0,0.0,0.0,471451000,59900000,0.0,165560000,0.28543597258738845,108574000,0.07911900349122883,-2890000.0,45891000,0.07911900349122883,4998000.0,41026000,0.07073143398991423,0.0,0.0,61074913,61074913,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000013/0001656239-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1656239/000165623916000013/pnk3311610q.htm
