,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,WD,USD,2021-02-25,2021-02-25 17:11:58,FY,245953000.0,169011000.0,47165000.0,28319000.0,-3390493000.0,-19264000.0,0.0,0.0,-2196059000,0.0,-1411370000,0.0,-46784000.0,-1682000.0,0.0,0.0,115179000.0,0.0,14021000.0,-45774000.0,-45350000.0,0.0,1517627000,0.0,221436000.0,358002000.0,136566000.0,-1411370000,0.0,-1411370000,https://www.sec.gov/Archives/edgar/data/1497770/000155837021001854/0001558370-21-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1497770/000155837021001854/wd-20201231x10k.htm,1620599752,18:35:52,20210509
1,2019-12-31,WD,USD,2020-02-26 00:00:00,2020-02-26 16:28:27,FY,173373000.0,152472000.0,22012000.0,24075000.0,-467427000.0,0.0,0.0,0.0,1194434000,262225000.0,427561000,0.0,-7000000.0,-393535000.0,342588000.0,0.0,-79705000.0,-437985000.0,5511000.0,-30676000.0,-37272000.0,-10981000.0,-331638000,0.0,16218000.0,136566000.0,120348000.0,427561000,-4711000.0,422850000,https://www.sec.gov/Archives/edgar/data/1497770/000155837020001477/0001558370-20-001477-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837020001477/wd-20191231x10k4bb676.htm,1620599752,18:35:52,20210509
2,2018-12-31,WD,USD,2019-03-01 00:00:00,2019-03-01 09:03:10,FY,161439000.0,142134000.0,17483000.0,23959000.0,436554000.0,0.0,0.0,-13957000.0,1661861000,-97373000.0,64076000,0.0,-53000000.0,-696331000.0,161303000.0,-1814000.0,-552238000.0,-227273000.0,8949000.0,-68832000.0,-31445000.0,-12462000.0,321830000,0.0,-166332000.0,120348000.0,286680000.0,64076000,-4722000.0,59354000,https://www.sec.gov/Archives/edgar/data/1497770/000155837019001390/0001558370-19-001390-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837019001390/wd-20181231x10k.htm,1620599752,18:35:52,20210509
3,2017-12-31,WD,USD,2018-02-23 00:00:00,2018-02-23 15:10:24,FY,211127000.0,131246000.0,-30961000.0,21134000.0,-1003143000.0,0.0,0.0,22866000.0,1225307000,928969000.0,1067642000,0.0,-15000000.0,-183916000.0,219516000.0,111969000.0,104136000.0,-1194056000.0,3013000.0,-34899000.0,0.0,-3890000.0,-1089491000,0.0,82287000.0,295754000.0,213467000.0,1067642000,-5207000.0,1062435000,https://www.sec.gov/Archives/edgar/data/1497770/000155837018001023/0001558370-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837018001023/wd-20171231x10k.htm,1620599752,18:35:52,20210509
4,2016-12-31,WD,USD,2017-02-24 00:00:00,2017-02-24 07:06:19,FY,113897000.0,111427000.0,37595000.0,18477000.0,-672798000.0,0.0,0.0,22035000.0,2228450000,650348000.0,759366000,0.0,-6000000.0,-414763000.0,425820000.0,-43097000.0,-66761000.0,-1006687000.0,3765000.0,-12893000.0,0.0,-3635000.0,-693622000,0.0,-1017000.0,213467000.0,214484000.0,759366000,-2478000.0,756888000,https://www.sec.gov/Archives/edgar/data/1497770/000155837017000939/0001558370-17-000939-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837017000939/wd-20161231x10k.htm,1620599752,18:35:52,20210509
5,2015-12-31,WD,USD,2016-02-26 00:00:00,2016-02-26 06:13:32,FY,82128000.0,98173000.0,15509000.0,14084000.0,1448547000.0,0.0,0.0,7739000.0,2901248000,-1418623000.0,-1339638000,0.0,-13000000.0,-180375000.0,172323000.0,0.0,-22232000.0,-130361000.0,7553000.0,-50261000.0,0.0,-2735000.0,1385504000,0.0,23634000.0,136988000.0,113354000.0,-1339638000,-1413000.0,-1341051000,https://www.sec.gov/Archives/edgar/data/1497770/000155837016003573/0001558370-16-003573-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000155837016003573/wd-20151231x10k.htm,1620599752,18:35:52,20210509
6,2014-12-31,WD,USD,2015-03-05,2015-03-05 06:07:37,FY,51422000.0,80138000.0,10298000.0,9994000.0,852541000.0,0.0,0.0,12415000.0,1452701000,-771577000.0,-729496000,0.0,-23000000.0,-339802000.0,250104000.0,0.0,-115640000.0,-203741000.0,7756000.0,-37593000.0,0.0,-1454000.0,787927000,0.0,-57209000.0,113354000.0,170563000.0,-729496000,-2525000.0,-732021000,https://www.sec.gov/Archives/edgar/data/1497770/000119312515077598/d843655d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000119312515077598/d843655d10k.htm,1620599752,18:35:52,20210509
7,2013-12-31,WD,USD,2014-03-07,2014-03-07 16:24:07,FY,41530000.0,75955000.0,16954000.0,9194000.0,-590677000.0,0.0,0.0,-19257000.0,600160000,793213000.0,836908000,0.0,0.0,-147820000.0,21700000.0,0.0,-130639000.0,-895112000.0,1139000.0,-3025000.0,0.0,-1798000.0,-600733000,0.0,105536000.0,170563000.0,65027000.0,836908000,-4519000.0,832389000,https://www.sec.gov/Archives/edgar/data/1497770/000119312514089168/d646318d10k.htm,https://www.sec.gov/Archives/edgar/data/1497770/000119312514089168/d646318d10k.htm,1620599752,18:35:52,20210509
8,2012-12-31,WD,USD,2013-03-18 00:00:00,2013-03-18 16:35:16,FY,33772000.0,53925000.0,16042000.0,5176000.0,871068000.0,0.0,0.0,7128000.0,1190837000,-817811000.0,-839183000,0.0,-208000000.0,0.0,0.0,-9423000.0,-222131000.0,0.0,151073000.0,-741000.0,0.0,-977000.0,1072524000,0.0,11210000.0,65027000.0,53817000.0,-839183000,-4599000.0,-843782000,https://www.sec.gov/Archives/edgar/data/1497770/000104746913002970/0001047469-13-002970-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000104746913002970/a2213439z10-k.htm,1620599752,18:35:52,20210509
9,2011-12-31,WD,USD,2012-03-09 00:00:00,2012-03-09 13:44:43,FY,34864000.0,22514000.0,9523000.0,2422000.0,-15600000.0,0.0,0.0,0.0,319769000,-3232032000.0,58061000,0.0,0.0,0.0,0.0,0.0,-3758000.0,-3752000.0,2054000.0,-473000.0,-1750000.0,143000.0,-33771000,0.0,20532000.0,53817000.0,33285000.0,58061000,-3758000.0,54303000,https://www.sec.gov/Archives/edgar/data/1497770/000104746912002360/0001047469-12-002360-index.html,https://www.sec.gov/Archives/edgar/data/1497770/000104746912002360/a2207893z10-k.htm,1620599752,18:35:52,20210509
10,2010-12-31,WD,USD,2010-12-31,2010-12-31,FY,8227000.0,16959000.0,30226000.0,49000.0,211429000.0,0.0,0.0,0.0,335369000,-2521335000.0,-171291000,0.0,0.0,0.0,0.0,0.0,-586000.0,-5340000.0,58369000.0,0.0,-10237000.0,173000.0,194772000,0.0,22895000.0,33285000.0,10390000.0,-171291000,-586000.0,-171877000,,,1620599752,18:35:52,20210509
11,2009-12-31,WD,USD,2009-12-31,2009-12-31,FY,28657000.0,12917000.0,0.0,0.0,-1680000.0,0.0,0.0,0.0,123940000,-1639104000.0,20393000,0.0,0.0,0.0,0.0,0.0,-146000.0,-15608000.0,0.0,-13000.0,-10050000.0,9002000.0,-16669000,0.0,3578000.0,10390000.0,6812000.0,20393000,-146000.0,20247000,,,1620599752,18:35:52,20210509
12,2008-12-31,WD,USD,2008-12-31,2008-12-31,FY,8700000.0,6759000.0,0.0,0.0,-1926000.0,0.0,0.0,0.0,125620000,-1369624000.0,-79475000,0.0,0.0,0.0,0.0,0.0,-228000.0,77373000.0,0.0,-354000.0,-7553000.0,-388000.0,69078000,0.0,-10625000.0,6812000.0,17437000.0,-79475000,-228000.0,-79703000,,,1620599752,18:35:52,20210509
