,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,IRT,USD,2021-02-18,2021-02-18 16:16:13,FY,14768000.0,60687000.0,0.0,5564000.0,3619000.0,0.0,0.0,754000.0,-26034000.0,2159000.0,74959000.0,0.0,0.0,0.0,0.0,0.0,-124540000.0,-236785000.0,148213000.0,-1490000.0,-56146000.0,-530000.0,48763000.0,0.0,-818000.0,13615000.0,14433000.0,74959000.0,-37399000.0,37560000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459021006672/0001564590-21-006672-index.htm,https://www.sec.gov/Archives/edgar/data/1466085/000156459021006672/irt-10k_20201231.htm,1620593762,16:56:02,20210509
1,2019-12-31,IRT,USD,2020-02-18 00:00:00,2020-02-18 16:33:31,FY,45896000.0,52815000.0,0.0,3116000.0,-92089000.0,0.0,0.0,3490000.0,-29653000.0,1423000.0,75001000.0,0.0,0.0,0.0,0.0,0.0,-106396000.0,-157784000.0,20981000.0,-642000.0,-64745000.0,-2086000.0,29783000.0,0.0,-1612000.0,14433000.0,16045000.0,75001000.0,-60771000.0,29376000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459020005043/0001564590-20-005043-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459020005043/irt-10k_20191231.htm,1620593762,16:56:02,20210509
2,2018-12-31,IRT,USD,2019-02-22 00:00:00,2019-02-22 17:10:11,FY,26288000.0,45221000.0,0.0,2524000.0,62971000.0,0.0,0.0,3284000.0,62436000.0,1430000.0,68530000.0,0.0,0.0,0.0,0.0,0.0,-229457000.0,-201453000.0,21914000.0,-354000.0,-52476000.0,-5278000.0,162353000.0,0.0,1426000.0,16045000.0,14619000.0,68530000.0,-189031000.0,28104000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459019003914/0001564590-19-003914-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459019003914/irt-10k_20181231.htm,1620593762,16:56:02,20210509
3,2017-12-31,IRT,USD,2018-02-23 00:00:00,2018-02-23 12:27:18,FY,30206000.0,34201000.0,0.0,1968000.0,-74126000.0,0.0,0.0,1578000.0,-535000.0,1464000.0,54324000.0,0.0,0.0,0.0,0.0,-675000.0,-190825000.0,-148339000.0,137353000.0,-569000.0,-52304000.0,-10237000.0,125594000.0,0.0,-10907000.0,9985000.0,20892000.0,54324000.0,-175780000.0,39954000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459018002993/0001564590-18-002993-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459018002993/irt-10k_20171231.htm,1620593762,16:56:02,20210509
4,2016-12-31,IRT,USD,2017-03-03 00:00:00,2017-03-03 16:01:43,FY,-9801000.0,34824000.0,0.0,1222000.0,50064000.0,0.0,0.0,-4328000.0,73591000.0,2025000.0,-7533000.0,0.0,0.0,0.0,0.0,-1248000.0,27779000.0,-390089000.0,245309000.0,-62156000.0,-36575000.0,-3625000.0,-37655000.0,0.0,-17409000.0,20892000.0,38301000.0,-7533000.0,39690000.0,-18196000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459017003316/0001564590-17-003316-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459017003316/irt-10k_20161231.htm,1620593762,16:56:02,20210509
5,2015-12-31,IRT,USD,2016-03-11 00:00:00,2016-03-11 08:03:11,FY,28242000.0,28094000.0,0.0,495000.0,11672000.0,0.0,0.0,3362000.0,23527000.0,-64215000.0,18725000.0,0.0,-137000000.0,0.0,0.0,-207000.0,-153466000.0,-272751000.0,0.0,-188000.0,-25103000.0,-32404000.0,158279000.0,0.0,23538000.0,38301000.0,14763000.0,18725000.0,-7222000.0,9784000.0,https://www.sec.gov/Archives/edgar/data/1466085/000156459016014497/0001564590-16-014497-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000156459016014497/irt-10k_20151231.htm,1620593762,16:56:02,20210509
6,2014-12-31,IRT,USD,2015-03-16,2015-03-16 17:14:29,FY,2940000.0,12520000.0,0.0,206000.0,8620000.0,0.0,0.0,2670000.0,11855000.0,-660000.0,15724000.0,0.0,0.0,0.0,0.0,-3298000.0,-307337000.0,-26001000.0,189587000.0,0.0,-14978000.0,-216000.0,303042000.0,0.0,11429000.0,14763000.0,3334000.0,15724000.0,-299881000.0,11566000.0,https://www.sec.gov/Archives/edgar/data/1466085/000119312515094016/d846890d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312515094016/d846890d10k.htm,1620593762,16:56:02,20210509
7,2013-12-31,IRT,USD,2014-03-11,2014-03-11 17:15:31,FY,625000.0,4413000.0,0.0,77000.0,1724000.0,0.0,0.0,210000.0,3235000.0,83000.0,6018000.0,0.0,0.0,0.0,0.0,28000.0,-38239000.0,-222000.0,31153000.0,-3637000.0,-2989000.0,-2223000.0,33022000.0,0.0,801000.0,3334000.0,2533000.0,6018000.0,-36822000.0,4573000.0,https://www.sec.gov/Archives/edgar/data/1466085/000119312514093942/d653077d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312514093942/d653077d10k.htm,1620593762,16:56:02,20210509
8,2012-12-31,IRT,USD,2013-03-13 00:00:00,2013-03-13 17:15:17,FY,-108000.0,3466000.0,0.0,0.0,318000.0,0.0,0.0,164000.0,1511000.0,121000.0,4484000.0,0.0,0.0,0.0,0.0,1000.0,-16928000.0,0.0,3193000.0,0.0,-164000.0,503000.0,13870000.0,0.0,1426000.0,2533000.0,1107000.0,4484000.0,-15781000.0,3336000.0,https://www.sec.gov/Archives/edgar/data/1466085/000119312513105454/0001193125-13-105454-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312513105454/d445406d10k.htm,1620593762,16:56:02,20210509
9,2011-12-31,IRT,USD,2012-03-09 00:00:00,2012-03-09 16:07:33,FY,-112000.0,1771000.0,0.0,0.0,986078.0,-333000.0,0.0,0.0,1193000.0,0.0,2196000.0,0.0,0.0,0.0,0.0,324000.0,-18788000.0,0.0,0.0,0.0,-5000.0,-105000.0,17490000.0,0.0,898000.0,1107000.0,209000.0,2196000.0,-18244000.0,1328000.0,https://www.sec.gov/Archives/edgar/data/1466085/000119312512106907/0001193125-12-106907-index.html,https://www.sec.gov/Archives/edgar/data/1466085/000119312512106907/d283347d10k.htm,1620593762,16:56:02,20210509
10,2010-12-31,IRT,USD,2011-03-25,2011-03-25 15:15:28,FY,3726.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,206922.0,0.0,3758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3758.0,209425.0,205667.0,3758.0,0.0,3758.0,https://www.sec.gov/Archives/edgar/data/1466085/000119312511078002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1466085/000119312511078002/d10k.htm,1620593762,16:56:02,20210509
