,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,SLF,CAD,2020-12-31,2020-12-31,FY,43337000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40050000000,355000000.0,0.0,0.0,0.0,0.0,0.07584742829452892,0.0,3287000000,0.07584742829452892,495000000,2781000000,0.0641714931813462,4.697635135135135,4.697635135135135,592000000,592000000,,,1620598001,18:06:41,20210509
1,2019-12-31,SLF,CAD,2020-02-14 00:00:00,2020-02-13 17:37:19,FY,39679000000,0.0,0.0,0.0,0.0,4090000000.0,0.0,0.0,27466000000.0,36446000000,333000000.0,378000000.0,0.0,0.0,0.0,0.08147886791501802,0.0,3233000000,0.08147886791501802,286000000,2943000000,0.0741702159832657,4.42,4.4,592000000,595000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312520035808/0001193125-20-035808-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312520035808/d859486d40f.htm,1620598001,18:06:41,20210509
2,2018-12-31,SLF,CAD,2019-02-15 00:00:00,2019-02-14 19:30:40,FY,26997000000,0.0,0.0,0.0,0.0,3707000000.0,0.0,0.0,18119000000.0,23486000000,305000000.0,226000000.0,0.0,0.0,0.0,0.13005148720228174,0.0,3511000000,0.13005148720228174,597000000,2914000000,0.10793791902804015,4.16,4.14,606000000,611000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312519041325/0001193125-19-041325-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312519041325/d676358d40f.htm,1620598001,18:06:41,20210509
3,2017-12-31,SLF,CAD,2018-02-16 00:00:00,2018-02-15 18:29:58,FY,29334000000,0.0,0.0,0.0,0.0,3672000000.0,0.0,0.0,20477000000.0,26545000000,303000000.0,209000000.0,0.0,0.0,0.0,0.09507738460489534,0.0,2789000000,0.09507738460489534,302000000,2487000000,0.08478216404172632,3.51,3.49,613000000,615759312,https://www.sec.gov/Archives/edgar/data/1097362/000119312518047494/0001193125-18-047494-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312518047494/d464993d40f.htm,1620598001,18:06:41,20210509
4,2016-12-31,SLF,CAD,2017-02-16 00:00:00,2017-02-16 17:16:09,FY,28573000000,0.0,0.0,0.0,0.0,3394000000.0,0.0,0.0,18977000000.0,25128000000,316000000.0,203000000.0,0.0,0.0,0.0,0.12056836873971931,0.0,3445000000,0.12056836873971931,619000000,2826000000,0.0989045602491863,4.05,4.03,613000000,619000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312517046840/0001193125-17-046840-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312517046840/d287687d40f.htm,1620598001,18:06:41,20210509
5,2015-12-31,SLF,CAD,2016-02-11 00:00:00,2016-02-11 16:54:00,FY,19274000000,0.0,0.0,0.0,0.0,2841000000.0,0.0,0.0,12822000000.0,16375000000,322000000.0,166000000.0,0.0,0.0,0.0,0.1504098785929231,0.0,2899000000,0.1504098785929231,599000000,2300000000,0.11933174224343675,3.57,3.55,612000000,615492958,https://www.sec.gov/Archives/edgar/data/1097362/000119312516460007/0001193125-16-460007-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312516460007/d22463d40f.htm,1620598001,18:06:41,20210509
6,2014-12-31,SLF,CAD,2015-02-12,2015-02-12,FY,25764000000,0.0,0.0,0.0,0.0,2624000000.0,0.0,0.0,17663000000.0,23391000000,336000000.0,150000000.0,0.0,0.0,0.0,0.09210526315789473,0.0,2373000000,0.09210526315789473,491000000,1882000000,0.07304766340630336,2.88,2.86,611000000,619000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312515046877/d825035dex2.htm,https://www.sec.gov/Archives/edgar/data/1097362/000119312515046877/d825035dex2.htm,1620598001,18:06:41,20210509
7,2013-12-31,SLF,CAD,2014-02-13,2014-02-13,FY,13874000000,0.0,0.0,0.0,0.0,2372000000.0,0.0,0.0,17407000000.0,11782000000,353000000.0,123000000.0,0.0,0.0,0.0,0.15078564220844745,0.0,2092000000,0.15078564220844745,283000000,1055000000,0.0760415165056941,1.56,1.55,604000000,614000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312514051368/d661801dex2.htm,https://www.sec.gov/Archives/edgar/data/1097362/000119312514051368/d661801dex2.htm,1620598001,18:06:41,20210509
8,2012-12-31,SLF,CAD,2013-02-14 00:00:00,2013-02-14 17:29:23,FY,17559000000,0.0,0.0,0.0,0.0,1909000000.0,0.0,0.0,16499000000.0,15848000000,367000000.0,116000000.0,0.0,0.0,0.0,0.09744290677145623,0.0,1711000000,0.09744290677145623,210000000,1681000000,0.09573438122899937,2.62,2.59,593000000,604000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312513060813/0001193125-13-060813-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312513060813/d460430d40f.htm,1620598001,18:06:41,20210509
9,2011-12-31,SLF,CAD,2012-02-16 00:00:00,2012-02-16 16:46:39,FY,22581000000,0.0,0.0,0.0,0.0,1874000000.0,1545000000.0,0.0,18480000000.0,23212000000,434000000.0,46000000.0,0.0,0.0,0.0,-0.027943846596696336,0.0,-631000000,-0.027943846596696336,-447000000,-193000000,-0.008547008547008548,-0.52,-0.52,579000000,579000000,https://www.sec.gov/Archives/edgar/data/1097362/000119312512065426/0001193125-12-065426-index.html,https://www.sec.gov/Archives/edgar/data/1097362/000119312512065426/d273215d40f.htm,1620598001,18:06:41,20210509
