,date,symbol,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
0,2019-12-31,SLF.TO,2019-12-31,2019-12-31,FY,39679000000,0.0,0.0,0.0,0.0,4090000000,0.0,0.0,2037000000,36446000000,333000000,378000000,0.0,0.0,0.0,0.08147886791501802,0.0,3233000000,0.08147886791501802,286000000,2943000000,0.0741702159832657,4.42,4.4,592000000,595000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2018-12-31,SLF.TO,2018-12-31,2018-12-31,FY,26997000000,0.0,0.0,0.0,0.0,3707000000,0.0,0.0,2004000000,23486000000,305000000,226000000,0.0,0.0,0.0,0.13005148720228174,0.0,3511000000,0.13005148720228174,597000000,2914000000,0.10793791902804015,4.16,4.14,606000000,611000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2017-12-31,SLF.TO,2017-12-31,2017-12-31,FY,29334000000,0.0,0.0,0.0,0.0,3672000000,0.0,0.0,2109000000,26545000000,303000000,209000000,0.0,0.0,0.0,0.09507738460489534,0.0,2789000000,0.09507738460489534,302000000,2487000000,0.08478216404172632,3.51,3.49,613000000,615759312,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2016-12-31,SLF.TO,2016-12-31,2016-12-31,FY,28573000000,0.0,0.0,0.0,0.0,3394000000,0.0,0.0,1937000000,25128000000,316000000,203000000,0.0,0.0,0.0,0.12056836873971931,0.0,3445000000,0.12056836873971931,619000000,2826000000,0.0989045602491863,4.05,4.03,613000000,619000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2015-12-31,SLF.TO,2015-12-31,2015-12-31,FY,19274000000,0.0,0.0,0.0,0.0,2841000000,0.0,0.0,1607000000,16375000000,322000000,166000000,0.0,0.0,0.0,0.1504098785929231,0.0,2899000000,0.1504098785929231,599000000,2300000000,0.11933174224343675,3.57,3.55,612000000,615492958,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2014-12-31,SLF.TO,2014-12-31,2014-12-31,FY,25764000000,0.0,0.0,0.0,0.0,2624000000,0.0,0.0,1374000000,23391000000,336000000,150000000,0.0,0.0,0.0,0.09210526315789473,0.0,2373000000,0.09210526315789473,491000000,1882000000,0.07304766340630336,2.88,2.86,611000000,619000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2013-12-31,SLF.TO,2013-12-31,2013-12-31,FY,13874000000,0.0,0.0,0.0,0.0,2372000000,0.0,0.0,1337000000,11782000000,353000000,123000000,0.0,0.0,0.0,0.15078564220844745,0.0,2092000000,0.15078564220844745,283000000,1055000000,0.0760415165056941,1.56,1.55,604000000,614000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2012-12-31,SLF.TO,2012-12-31,2012-12-31,FY,17559000000,0.0,0.0,0.0,0.0,1909000000,0.0,0.0,1225000000,15848000000,367000000,116000000,0.0,0.0,0.0,0.09744290677145623,0.0,1711000000,0.09744290677145623,210000000,1681000000,0.09573438122899937,2.62,2.59,593000000,604000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2011-12-31,SLF.TO,2011-12-31,2011-12-31,FY,22581000000,0.0,0.0,0.0,0.0,3419000000,1545000000,0.0,5434000000,23212000000,434000000,46000000,0.0,0.0,0.0,-0.027943846596696336,0.0,-631000000,-0.027943846596696336,-447000000,-193000000,-0.008547008547008548,-0.52,-0.52,579000000,579000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
0,2010-12-31,SLF.TO,2010-12-31,2010-12-31,FY,24640000000,0.0,0.0,0.0,0.0,4995000000,1591000000,0.0,1139000000,22561000000,440000000,0.0,0.0,0.0,0.0,0.084375,0.0,2079000000,0.084375,371000000,1685000000,0.06838474025974026,2.79,2.76,568000000,570000000,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Sun Life Financial Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
